tx_name	gene_id	chrom	strand	nexon	tx_len	cds_len	utr5_len	utr3_len	gene_biotype	gene_name
LZEP_07478-RA	LZEP_07478	LZEP_chr_1	+	6	3487	456	1340	1691	protein_coding	LZEP_07478
LZEP_07478-RB	LZEP_07478	LZEP_chr_1	+	4	405	405	0	0	protein_coding	LZEP_07478
LZEP_07481-RA	LZEP_07481	LZEP_chr_1	+	7	5027	4527	256	244	protein_coding	LZEP_07481
LZEP_07495-RA	LZEP_07495	LZEP_chr_1	+	4	815	591	0	224	protein_coding	LZEP_07495
LZEP_07497-RA	LZEP_07497	LZEP_chr_1	+	9	1888	1242	575	71	protein_coding	LZEP_07497
LZEP_07499-RA	LZEP_07499	LZEP_chr_1	+	2	2159	705	0	1454	protein_coding	LZEP_07499
LZEP_07503-RA	LZEP_07503	LZEP_chr_1	+	5	1354	462	0	892	protein_coding	LZEP_07503
LZEP_07505-RA	LZEP_07505	LZEP_chr_1	+	7	1363	894	220	249	protein_coding	LZEP_07505
LZEP_04392-RA	LZEP_04392	LZEP_chr_11	+	13	2228	2094	0	134	protein_coding	LZEP_04392
LZEP_04393-RA	LZEP_04393	LZEP_chr_11	+	7	4228	1167	264	2797	protein_coding	LZEP_04393
LZEP_04394-RA	LZEP_04394	LZEP_chr_11	+	47	17182	16365	392	425	protein_coding	LZEP_04394
LZEP_04396-RA	LZEP_04396	LZEP_chr_11	+	2	1092	828	0	264	protein_coding	LZEP_04396
LZEP_05942-RA	LZEP_05942	LZEP_chr_6	-	2	1040	381	0	659	protein_coding	LZEP_05942
LZEP_09930-RA	LZEP_09930	LZEP_chr_14	-	20	4143	3981	0	162	protein_coding	LZEP_09930
LZEP_04400-RA	LZEP_04400	LZEP_chr_11	+	3	221	42	0	179	protein_coding	LZEP_04400
LZEP_04400-RB	LZEP_04400	LZEP_chr_11	+	2	42	42	0	0	protein_coding	LZEP_04400
LZEP_12465-RA	LZEP_12465	LZEP_unplaced_2422	-	2	1768	1731	0	37	protein_coding	LZEP_12465
LZEP_09931-RA	LZEP_09931	LZEP_chr_14	-	14	3597	2667	0	930	protein_coding	LZEP_09931
LZEP_09932-RA	LZEP_09932	LZEP_chr_14	-	4	1005	345	75	585	protein_coding	LZEP_09932
LZEP_10620-RA	LZEP_10620	LZEP_chr_3	-	10	1480	1230	0	250	protein_coding	LZEP_10620
LZEP_04180-RA	LZEP_04180	LZEP_chr_9	+	8	2039	1512	8	519	protein_coding	LZEP_04180
LZEP_08117-RA	LZEP_08117	LZEP_chr_1	-	7	2795	1416	305	1074	protein_coding	LZEP_08117
LZEP_08437-RA	LZEP_08437	LZEP_chr_5	+	11	6717	5811	0	906	protein_coding	LZEP_08437
LZEP_08437-RB	LZEP_08437	LZEP_chr_5	+	9	6649	5793	0	856	protein_coding	LZEP_08437
LZEP_05949-RA	LZEP_05949	LZEP_chr_6	-	6	1607	1338	0	269	protein_coding	LZEP_05949
LZEP_07516-RA	LZEP_07516	LZEP_chr_1	+	4	1241	357	312	572	protein_coding	LZEP_07516
LZEP_08438-RA	LZEP_08438	LZEP_chr_5	+	6	1697	1452	0	245	protein_coding	LZEP_08438
LZEP_09936-RA	LZEP_09936	LZEP_chr_14	-	6	1714	1104	0	610	protein_coding	LZEP_09936
LZEP_07519-RA	LZEP_07519	LZEP_chr_1	+	6	792	663	0	129	protein_coding	LZEP_07519
LZEP_08439-RA	LZEP_08439	LZEP_chr_5	+	4	1192	681	0	511	protein_coding	LZEP_08439
LZEP_04404-RA	LZEP_04404	LZEP_chr_11	+	5	1376	621	467	288	protein_coding	LZEP_04404
LZEP_05952-RA	LZEP_05952	LZEP_chr_6	-	7	4386	1527	2184	675	protein_coding	LZEP_05952
LZEP_04405-RA	LZEP_04405	LZEP_chr_11	+	6	1363	786	0	577	protein_coding	LZEP_04405
LZEP_04976-RA	LZEP_04976	LZEP_chr_11	-	6	1563	645	0	918	protein_coding	LZEP_04976
LZEP_06464-RA	LZEP_06464	LZEP_chr_13	+	2	739	423	0	316	protein_coding	LZEP_06464
LZEP_04409-RA	LZEP_04409	LZEP_chr_11	+	4	1154	471	0	683	protein_coding	LZEP_04409
LZEP_12369-RA	LZEP_12369	LZEP_unplaced_4433	+	2	1101	603	0	498	protein_coding	LZEP_12369
LZEP_04979-RA	LZEP_04979	LZEP_chr_11	-	10	1895	1488	294	113	protein_coding	LZEP_04979
LZEP_08120-RA	LZEP_08120	LZEP_chr_1	-	4	1112	753	0	359	protein_coding	LZEP_08120
LZEP_10634-RA	LZEP_10634	LZEP_chr_3	-	8	1304	963	96	245	protein_coding	LZEP_10634
LZEP_07521-RA	LZEP_07521	LZEP_chr_1	+	4	2322	528	0	1794	protein_coding	LZEP_07521
LZEP_04185-RA	LZEP_04185	LZEP_chr_9	+	4	279	237	0	42	protein_coding	LZEP_04185
LZEP_12475-RA	LZEP_12475	LZEP_unplaced_2438	-	2	1698	276	0	1422	protein_coding	LZEP_12475
LZEP_09939-RA	LZEP_09939	LZEP_chr_14	-	9	5858	3114	158	2586	protein_coding	LZEP_09939
LZEP_09939-RB	LZEP_09939	LZEP_chr_14	-	7	5258	3015	158	2085	protein_coding	LZEP_09939
LZEP_07524-RA	LZEP_07524	LZEP_chr_1	+	2	991	348	0	643	protein_coding	LZEP_07524
LZEP_05956-RA	LZEP_05956	LZEP_chr_6	-	9	4699	1737	688	2274	protein_coding	LZEP_05956
LZEP_09938-RA	LZEP_09938	LZEP_chr_14	-	4	1360	1029	0	331	protein_coding	LZEP_09938
LZEP_06469-RA	LZEP_06469	LZEP_chr_13	+	9	4017	1650	0	2367	protein_coding	LZEP_06469
LZEP_04985-RA	LZEP_04985	LZEP_chr_11	-	7	2573	1314	912	347	protein_coding	LZEP_04985
LZEP_04413-RA	LZEP_04413	LZEP_chr_11	+	18	3227	3078	0	149	protein_coding	LZEP_04413
LZEP_12097-RA	LZEP_12097	LZEP_unplaced_2442	-	3	699	444	131	124	protein_coding	LZEP_12097
LZEP_06472-RA	LZEP_06472	LZEP_chr_13	+	6	4354	4143	0	211	protein_coding	LZEP_06472
LZEP_03020-RA	LZEP_03020	LZEP_chr_2	+	11	1264	363	0	901	protein_coding	LZEP_03020
LZEP_06473-RA	LZEP_06473	LZEP_chr_13	+	10	2152	1953	0	199	protein_coding	LZEP_06473
LZEP_04417-RA	LZEP_04417	LZEP_chr_11	+	6	1598	1149	184	265	protein_coding	LZEP_04417
LZEP_04993-RA	LZEP_04993	LZEP_chr_11	-	12	2801	2547	0	254	protein_coding	LZEP_04993
LZEP_07527-RA	LZEP_07527	LZEP_chr_1	+	5	1698	738	0	960	protein_coding	LZEP_07527
LZEP_06475-RA	LZEP_06475	LZEP_chr_13	+	7	1944	1449	0	495	protein_coding	LZEP_06475
LZEP_04188-RA	LZEP_04188	LZEP_chr_9	+	8	4891	1632	363	2896	protein_coding	LZEP_04188
LZEP_04995-RA	LZEP_04995	LZEP_chr_11	-	13	5369	4791	0	578	protein_coding	LZEP_04995
LZEP_07533-RA	LZEP_07533	LZEP_chr_1	+	7	1719	1242	434	43	protein_coding	LZEP_07533
LZEP_05959-RA	LZEP_05959	LZEP_chr_6	-	3	991	711	0	280	protein_coding	LZEP_05959
LZEP_04994-RA	LZEP_04994	LZEP_chr_11	-	3	510	354	0	156	protein_coding	LZEP_04994
LZEP_04420-RA	LZEP_04420	LZEP_chr_11	+	12	2800	2130	528	142	protein_coding	LZEP_04420
LZEP_04192-RA	LZEP_04192	LZEP_chr_9	+	11	1636	1320	157	159	protein_coding	LZEP_04192
LZEP_08126-RA	LZEP_08126	LZEP_chr_1	-	6	1211	756	0	455	protein_coding	LZEP_08126
LZEP_06481-RA	LZEP_06481	LZEP_chr_13	+	4	2090	1287	268	535	protein_coding	LZEP_06481
LZEP_07536-RA	LZEP_07536	LZEP_chr_1	+	7	1226	960	0	266	protein_coding	LZEP_07536
LZEP_04196-RA	LZEP_04196	LZEP_chr_9	+	19	3076	2961	0	115	protein_coding	LZEP_04196
LZEP_05962-RA	LZEP_05962	LZEP_chr_6	-	6	2367	855	1196	316	protein_coding	LZEP_05962
LZEP_04421-RA	LZEP_04421	LZEP_chr_11	+	9	1942	1098	219	625	protein_coding	LZEP_04421
LZEP_05001-RA	LZEP_05001	LZEP_chr_11	-	8	3234	831	0	2403	protein_coding	LZEP_05001
LZEP_10641-RA	LZEP_10641	LZEP_chr_3	-	5	822	411	0	411	protein_coding	LZEP_10641
LZEP_09945-RA	LZEP_09945	LZEP_chr_14	-	29	6059	5280	0	779	protein_coding	LZEP_09945
LZEP_09945-RB	LZEP_09945	LZEP_chr_14	-	28	6027	5283	0	744	protein_coding	LZEP_09945
LZEP_07537-RA	LZEP_07537	LZEP_chr_1	+	11	1565	1164	271	130	protein_coding	LZEP_07537
LZEP_04423-RA	LZEP_04423	LZEP_chr_11	+	15	2519	2082	217	220	protein_coding	LZEP_04423
LZEP_04425-RA	LZEP_04425	LZEP_chr_11	+	6	1586	984	579	23	protein_coding	LZEP_04425
LZEP_05971-RA	LZEP_05971	LZEP_chr_6	-	4	455	402	0	53	protein_coding	LZEP_05971
LZEP_06487-RA	LZEP_06487	LZEP_chr_13	+	10	3606	1707	0	1899	protein_coding	LZEP_06487
LZEP_09946-RA	LZEP_09946	LZEP_chr_14	-	32	5621	5370	9	242	protein_coding	LZEP_09946
LZEP_09946-RB	LZEP_09946	LZEP_chr_14	-	31	5608	5370	9	229	protein_coding	LZEP_09946
LZEP_03028-RA	LZEP_03028	LZEP_chr_2	+	3	628	471	0	157	protein_coding	LZEP_03028
LZEP_04198-RA	LZEP_04198	LZEP_chr_9	+	5	2910	2880	0	30	protein_coding	LZEP_04198
LZEP_06489-RA	LZEP_06489	LZEP_chr_13	+	10	2510	1644	284	582	protein_coding	LZEP_06489
LZEP_03029-RA	LZEP_03029	LZEP_chr_2	+	4	3433	1530	0	1903	protein_coding	LZEP_03029
LZEP_00977-RA	LZEP_00977	LZEP_chr_7	+	4	732	525	0	207	protein_coding	LZEP_00977
LZEP_09951-RA	LZEP_09951	LZEP_chr_14	-	4	642	378	0	264	protein_coding	LZEP_09951
LZEP_08138-RA	LZEP_08138	LZEP_chr_1	-	10	1649	927	389	333	protein_coding	LZEP_08138
LZEP_12399-RA	LZEP_12399	LZEP_unplaced_247	-	2	497	246	0	251	protein_coding	LZEP_12399
LZEP_09953-RA	LZEP_09953	LZEP_chr_14	-	3	360	261	0	99	protein_coding	LZEP_09953
LZEP_05974-RA	LZEP_05974	LZEP_chr_6	-	5	539	429	0	110	protein_coding	LZEP_05974
LZEP_05974-RB	LZEP_05974	LZEP_chr_6	-	4	411	411	0	0	protein_coding	LZEP_05974
LZEP_05976-RA	LZEP_05976	LZEP_chr_6	-	6	2075	783	245	1047	protein_coding	LZEP_05976
LZEP_03531-RA	LZEP_03531	LZEP_chr_9	-	10	3023	1197	0	1826	protein_coding	LZEP_03531
LZEP_03531-RB	LZEP_03531	LZEP_chr_9	-	8	2942	1155	0	1787	protein_coding	LZEP_03531
LZEP_09956-RA	LZEP_09956	LZEP_chr_14	-	14	3369	3117	0	252	protein_coding	LZEP_09956
LZEP_09955-RA	LZEP_09955	LZEP_chr_14	-	4	948	576	0	372	protein_coding	LZEP_09955
LZEP_03039-RA	LZEP_03039	LZEP_chr_2	+	3	695	426	0	269	protein_coding	LZEP_03039
LZEP_00985-RA	LZEP_00985	LZEP_chr_7	+	17	4825	3618	1160	47	protein_coding	LZEP_00985
LZEP_05023-RA	LZEP_05023	LZEP_chr_11	-	4	3927	2217	753	957	protein_coding	LZEP_05023
LZEP_09959-RA	LZEP_09959	LZEP_chr_14	-	8	3705	930	0	2775	protein_coding	LZEP_09959
LZEP_10651-RA	LZEP_10651	LZEP_chr_3	-	27	6280	4902	178	1200	protein_coding	LZEP_10651
LZEP_00993-RA	LZEP_00993	LZEP_chr_7	+	20	3195	3012	0	183	protein_coding	LZEP_00993
LZEP_00993-RB	LZEP_00993	LZEP_chr_7	+	18	2964	2964	0	0	protein_coding	LZEP_00993
LZEP_08142-RA	LZEP_08142	LZEP_chr_1	-	10	1621	1269	0	352	protein_coding	LZEP_08142
LZEP_05031-RA	LZEP_05031	LZEP_chr_11	-	5	3264	1389	1091	784	protein_coding	LZEP_05031
LZEP_04435-RA	LZEP_04435	LZEP_chr_11	+	6	5031	1599	0	3432	protein_coding	LZEP_04435
LZEP_03535-RA	LZEP_03535	LZEP_chr_9	-	6	1909	1068	357	484	protein_coding	LZEP_03535
LZEP_00998-RA	LZEP_00998	LZEP_chr_7	+	7	1019	807	0	212	protein_coding	LZEP_00998
LZEP_09963-RA	LZEP_09963	LZEP_chr_14	-	7	3021	2622	0	399	protein_coding	LZEP_09963
LZEP_03040-RA	LZEP_03040	LZEP_chr_2	+	11	4865	2250	368	2247	protein_coding	LZEP_03040
LZEP_10653-RA	LZEP_10653	LZEP_chr_3	-	9	1581	1233	0	348	protein_coding	LZEP_10653
LZEP_07541-RA	LZEP_07541	LZEP_chr_1	+	11	8545	2235	0	6310	protein_coding	LZEP_07541
LZEP_09969-RA	LZEP_09969	LZEP_chr_14	-	5	3006	1836	0	1170	protein_coding	LZEP_09969
LZEP_08145-RA	LZEP_08145	LZEP_chr_1	-	19	7345	4605	719	2021	protein_coding	LZEP_08145
LZEP_08145-RB	LZEP_08145	LZEP_chr_1	-	18	6197	4629	719	849	protein_coding	LZEP_08145
LZEP_08145-RC	LZEP_08145	LZEP_chr_1	-	18	6062	4494	719	849	protein_coding	LZEP_08145
LZEP_09971-RA	LZEP_09971	LZEP_chr_14	-	7	1779	1008	0	771	protein_coding	LZEP_09971
LZEP_12608-RA	LZEP_12608	LZEP_unplaced_4501	+	2	727	513	0	214	protein_coding	LZEP_12608
LZEP_04443-RA	LZEP_04443	LZEP_chr_11	+	10	3795	2442	978	375	protein_coding	LZEP_04443
LZEP_00999-RA	LZEP_00999	LZEP_chr_7	+	4	980	684	0	296	protein_coding	LZEP_00999
LZEP_10660-RA	LZEP_10660	LZEP_chr_3	-	7	1849	975	634	240	protein_coding	LZEP_10660
LZEP_04209-RA	LZEP_04209	LZEP_chr_9	+	10	10228	2244	7498	486	protein_coding	LZEP_04209
LZEP_10662-RA	LZEP_10662	LZEP_chr_3	-	17	9504	3447	0	6057	protein_coding	LZEP_10662
LZEP_10662-RB	LZEP_10662	LZEP_chr_3	-	14	9369	3315	0	6054	protein_coding	LZEP_10662
LZEP_10662-RC	LZEP_10662	LZEP_chr_3	-	14	9255	3201	0	6054	protein_coding	LZEP_10662
LZEP_10662-RD	LZEP_10662	LZEP_chr_3	-	16	9495	3441	0	6054	protein_coding	LZEP_10662
LZEP_10662-RE	LZEP_10662	LZEP_chr_3	-	17	9501	3447	0	6054	protein_coding	LZEP_10662
LZEP_05981-RA	LZEP_05981	LZEP_chr_6	-	9	1365	1167	0	198	protein_coding	LZEP_05981
LZEP_05981-RB	LZEP_05981	LZEP_chr_6	-	9	1251	1251	0	0	protein_coding	LZEP_05981
LZEP_07544-RA	LZEP_07544	LZEP_chr_1	+	3	585	300	0	285	protein_coding	LZEP_07544
LZEP_09974-RA	LZEP_09974	LZEP_chr_14	-	7	1273	810	0	463	protein_coding	LZEP_09974
LZEP_04452-RA	LZEP_04452	LZEP_chr_11	+	4	1780	381	915	484	protein_coding	LZEP_04452
LZEP_09975-RA	LZEP_09975	LZEP_chr_14	-	9	1426	1272	128	26	protein_coding	LZEP_09975
LZEP_05983-RA	LZEP_05983	LZEP_chr_6	-	9	1948	972	445	531	protein_coding	LZEP_05983
LZEP_05983-RB	LZEP_05983	LZEP_chr_6	-	9	1520	972	445	103	protein_coding	LZEP_05983
LZEP_05983-RC	LZEP_05983	LZEP_chr_6	-	9	2116	972	445	699	protein_coding	LZEP_05983
LZEP_09977-RA	LZEP_09977	LZEP_chr_14	-	4	929	693	0	236	protein_coding	LZEP_09977
